generated_at,iso_week,branch,commit,tests_collected,coverage_percent,coverage_target,gate_ruff,gate_mypy,gate_coverage,gate_secrets,gate_deps
2026-02-13 20:46:47 CET,2026-W07,main,08793f4,479,78.28,75,pass,pass,pass,fail,not_run
2026-02-13 20:47:48 CET,2026-W07,main,08793f4,479,78.28,75,pass,pass,pass,pass,not_run
2026-02-13 20:49:20 CET,2026-W07,main,08793f4,480,78.28,75,pass,pass,pass,pass,not_run
2026-02-13 22:19:22 CET,2026-W07,main,0f74296,514,83.64,75,pass,pass,pass,pass,not_run
2026-02-13 22:34:18 CET,2026-W07,main,0f74296,544,84.87,75,pass,pass,pass,pass,not_run
2026-02-13 22:52:20 CET,2026-W07,main,0f74296,566,85.73,75,pass,pass,pass,pass,not_run
2026-02-13 23:05:00 CET,2026-W07,main,0f74296,612,87.76,75,pass,pass,pass,pass,not_run
2026-02-13 23:08:30 CET,2026-W07,main,0f74296,620,87.92,75,pass,pass,pass,pass,not_run
2026-02-13 23:15:20 CET,2026-W07,main,0f74296,653,88.9,75,pass,pass,pass,pass,not_run
2026-02-13 23:19:59 CET,2026-W07,main,0f74296,670,89.29,75,pass,pass,pass,pass,not_run
2026-02-13 23:29:51 CET,2026-W07,main,0f74296,693,90.03,75,pass,pass,pass,pass,not_run
2026-02-13 23:40:46 CET,2026-W07,main,0f74296,718,91.08,75,pass,pass,pass,pass,not_run
2026-02-13 23:45:12 CET,2026-W07,main,0f74296,729,91.46,75,pass,pass,pass,pass,not_run
